X|Y|OBJECTID|primary_key|final_case_type|occ_year|occ_dt|obfAddress|priority|zone|grid|how_received|unit_id1|unit_id2|unit_id3|report_flag|case_status|cleared_by|x_rand|y_rand|disclaimer|place_name|CFSType
-111.936656388130473|33.421946217874734|3182|TE201372568|961|2013|2013-06-11T07:24:07.000Z| UNIVERSITY DR / S FOREST AVE|2|DT|0708|T|T603|||Y|Y|6|693901|881051|Point has not been altered||Traffic Accident Call
-111.963146018320018|33.349089618336293|3183|TE201372574|VEHICL|2013|2013-06-11T07:53:48.000Z| PRIEST DR / W ELLIOT RD[NWC|2|5|2514|S|T600|||N|Y|2|685807|854545|Point has not been altered||Other Officer Initiated Call
-111.908467746253379|33.406125000017951|3184|TE201359858|900|2013|2013-05-13T21:15:17.000Z|2XXX S MCCLINTOCK DR|2|4|1601|9|4E31|4E41|P58|N|Y|2|702502|875294|Point has not been altered| in QUAIL CANYON APARTMENTS|Check Welfare Call
-111.95871361667102|33.407058101574577|3185|TE201372579|SECCHK|2013|2013-06-11T08:01:53.000Z|1XXX W BROADWAY RD|2|3|1301|S|1P12|||N|Y|2|687169|875636|Point has not been altered|MCDONALDS|Other Officer Initiated Call
-111.942792324364632|33.423214837864478|3186|TE201372577|VEHICL|2013|2013-06-11T07:59:00.000Z|7XX S ASH AVE|2|DT|0707|S|T607|||N|Y|8|692029|881513|Point has not been altered|CHASE GARAGE|Other Officer Initiated Call
-111.893600994726938|33.378457603567583|3187|TE201372580|VEHICL|2013|2013-06-11T08:10:19.000Z| PRICE RD SB / E BASELINE RD|2|6|2115|S|T605|||N|Y|8|707041|865228|Point has not been altered||Other Officer Initiated Call
-111.91367023375625|33.348603562468035|3188|TE201372582|SECCHK|2013|2013-06-11T08:12:09.000Z|1XXX E ELLIOT RD|2|6|3104|S|1P61|||N|Y|2|700915|854365|Point has not been altered|SAFEWAY|Other Officer Initiated Call
-111.893838475637082|33.422401962329502|3189|TE201372575|SECCHK|2013|2013-06-11T07:57:48.000Z|2XXX E UNIVERSITY DR|2|2|0414|S|1P24|||N|Y|2|706965|881217|Point has not been altered|QT|Other Officer Initiated Call
-111.972230827145452|33.334395501758387|3190|TE201372563|VEHICL|2013|2013-06-11T07:01:58.000Z| WARNER RD / I10|2|5|3301|S|T604|||Y|Y|5|683030|849200|Point has not been altered||Other Officer Initiated Call
-111.951298725411704|33.368057638232152|3191|TE201372584|CXL|2013|2013-06-11T08:15:09.000Z|6XX W LA DONNA DR|2|5|2505|T|1P61|||N|Y|C|689427|861445|Point has not been altered||Cancelled Call
-111.972230827145452|33.334395501758387|3192|TE201372587|900|2013|2013-06-11T08:30:40.000Z| WARNER RD / I10[CHECK FOR T604|2|5|3301|S|1P61|||N|Y|C|683030|849200|Point has not been altered||Check Welfare Call
-111.963146018320018|33.349089618336293|3193|TE201372578|VEHICL|2013|2013-06-11T08:01:43.000Z| PRIEST DR / W ELLIOT RD|2|5|2514|S|1P51|||N|Y|7|685807|854545|Point has not been altered||Other Officer Initiated Call
-111.945158960972748|33.363631487258765|3194|TE201372583|VEHICL|2013|2013-06-11T08:13:59.000Z|4XX W GUADALUPE RD|2|5|2606|S|T600|T604|T605|N|Y|8|691301|859834|Point has not been altered|MCDONALDS|Other Officer Initiated Call
-111.909112559631694|33.414733044945443|3195|TE201372586|VEHICL|2013|2013-06-11T08:26:20.000Z| APACHE BLVD / S MCCLINTOCK DR|2|2|1106|S|T603|||N|Y|8|702305|878426|Point has not been altered||Other Officer Initiated Call
-111.909256563674731|33.378432041214268|3196|TE201372591|VEHICL|2013|2013-06-11T08:43:48.000Z| MCCLINTOCK DR / E BASELINE RD|2|6|2112|S|T605|T600||N|Y|8|702262|865218|Point has not been altered||Other Officer Initiated Call
-111.946737767397622|33.430477958567351|3197|TE201372576|586|2013|2013-06-11T07:56:40.000Z|5XX W LAKESIDE DR|4|1|0612|T|1P12|||N|Y|8|690826|884156|Point has not been altered|TOWN LAKE CONDOS|Illegal Parking Call
-111.926951245026302|33.446812124599624|3198|TE201372592|SECCHK|2013|2013-06-11T08:44:24.000Z|1XXX N SCOTTSDALE RD|2|2|0302|S|1P23|||N|Y|2|696863|890098|Point has not been altered|SUNCHAIN TANNING SALON|Other Officer Initiated Call
-111.943873011298848|33.378214904222766|3199|TE201372588|647V|2013|2013-06-11T08:33:45.000Z| KYRENE RD / W BASELINE RD|2|3|1319|T|1P61|T604|T604|N|Y|2|691695|865140|Point has not been altered||Suspicious Person/Vehicle Call
-111.909460063280207|33.413364360801317|3200|TE201372597|VEHICL|2013|2013-06-11T09:00:42.000Z|1XXX S MCCLINTOCK DR|2|2|1009|S|T605|||N|Y|8|702199|877928|Point has not been altered|MC CLINTOCK CENTER|Other Officer Initiated Call
-111.907716805192422|33.379231729636018|3201|TE201372600|SECCHK|2013|2013-06-11T09:08:42.000Z|1XXX E BASELINE RD|2|6|2112|S|2E32|||N|Y|2|702732|865509|Point has not been altered|TARGET|Other Officer Initiated Call
-111.976946755160327|33.378601769813429|3202|TE201372601|CXL|2013|2013-06-11T09:10:09.000Z|2XXX W BASELINE RD|2|3|1808|T|2E31|||N|N|2|681599|865285|Point has not been altered||Cancelled Call
-111.954467805951595|33.349155777098062|3203|TE201372590|419|2013|2013-06-11T08:33:46.000Z| ELLIOT RD / S HARDY DR|3|5|2909|T|2P52|||N|N|2|688457|854568|Point has not been altered|OLIVE GARDEN|Criminal Information Call
-111.978254443200328|33.40732478147001|3204|TE201372589|VEHICL|2013|2013-06-11T08:35:33.000Z| 48TH ST / W BROADWAY RD|2|1|0511|S|T607|||Y|Y|5|681206|875736|Point has not been altered||Other Officer Initiated Call
-111.926299367528642|33.422021661266108|3205|TE201372598|VEHICL|2013|2013-06-11T09:03:59.000Z| UNIVERSITY DR / S RURAL RD|2|2|0417|S|1P23|||N|Y|8|697061|881078|Point has not been altered||Other Officer Initiated Call
-111.948560767557751|33.396007027211212|3206|TE201372599|FALSE|2013|2013-06-11T09:06:57.000Z|7XX W FAIRMONT DR|2|3|1311|T|2P31|||N|Y|2|690266|871614|Point has not been altered|ON SEMI CONDUCTORS|Alarm Call
-111.978254443200328|33.40732478147001|3207|TE201372606|VEHICL|2013|2013-06-11T09:29:21.000Z| 48TH ST / W BROADWAY RD|2|1|0511|S|T607|||N|Y|8|681206|875736|Point has not been altered||Other Officer Initiated Call
-111.92841426785165|33.379893865251425|3208|TE201372610|VEHICL|2013|2013-06-11T09:42:15.000Z| MINTON DR / S RURAL RD[JW TOYT|2|6|2012|S|T608|||N|Y|2|696414|865750|Point has not been altered||Other Officer Initiated Call
-111.94571097527529|33.34919386350915|3209|TE201372608|585|2013|2013-06-11T09:32:28.000Z| KYRENE RD / W ELLIOT RD|2|5|2608|T|2P52|2P51||N|N|2|691131|854581|Point has not been altered||Traffic Hazard Call
